run_number,percent_cohort2,cohort2_age,percent_grammar_1,eq_step,max_steps,eq_percent
8487,20,300,45,265,1000,0.265
8488,20,300,50,134,1000,0.134
8489,20,300,60,109,1000,0.109
8490,20,300,70,327,1000,0.327
8491,20,300,80,74,1000,0.074
8492,20,300,90,69,1000,0.069
8493,35,300,10,60,1000,0.06
8494,35,300,20,102,1000,0.102
8495,35,300,30,94,1000,0.094
8496,35,300,35,104,1000,0.104
8497,35,300,40,60,1000,0.06
8498,35,300,45,87,1000,0.087
8499,35,300,50,78,1000,0.078
8500,35,300,60,601,1000,0.601
8501,35,300,70,116,1000,0.116
8502,35,300,80,144,1000,0.144
8503,35,300,90,59,1000,0.059
8504,50,300,10,55,1000,0.055
8505,50,300,20,87,1000,0.087
8506,50,300,30,69,1000,0.069
8507,50,300,35,101,1000,0.101
8508,50,300,40,154,1000,0.154
8509,50,300,45,85,1000,0.085
8510,50,300,50,73,1000,0.073
8511,50,300,60,155,1000,0.155
8512,50,300,70,120,1000,0.12
8513,50,300,80,86,1000,0.086
8514,50,300,90,77,1000,0.077
8515,65,300,10,56,1000,0.056
8516,65,300,20,45,1000,0.045
8517,65,300,30,114,1000,0.114
8518,65,300,35,146,1000,0.146
8519,65,300,40,194,1000,0.194
8520,65,300,45,120,1000,0.12
8521,65,300,50,165,1000,0.165
8522,65,300,60,140,1000,0.14
8523,65,300,70,120,1000,0.12
8524,65,300,80,81,1000,0.081
8525,65,300,90,93,1000,0.093
8526,75,300,10,83,1000,0.083
8527,75,300,20,96,1000,0.096
8528,75,300,30,150,1000,0.15
8529,75,300,35,82,1000,0.082
8530,75,300,40,210,1000,0.21
8531,75,300,45,125,1000,0.125
8532,75,300,50,148,1000,0.148
8533,75,300,60,264,1000,0.264
8534,75,300,70,346,1000,0.346
8535,75,300,80,118,1000,0.118
8536,75,300,90,77,1000,0.077
8537,90,300,10,85,1000,0.085
8538,90,300,20,107,1000,0.107
8539,90,300,30,132,1000,0.132
8540,90,300,35,172,1000,0.172
8541,90,300,40,147,1000,0.147
8542,90,300,45,299,1000,0.299
8543,90,300,50,71,1000,0.071
8544,90,300,60,97,1000,0.097
8545,90,300,70,189,1000,0.189
8546,90,300,80,118,1000,0.118
8547,90,300,90,65,1000,0.065
8548,10,500,10,56,1000,0.056
8549,10,500,20,71,1000,0.071
